2025-04-23 23:23:26 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-04-23 23:23:27 | INFO | django.server | "GET / HTTP/1.1" 200 2433
2025-04-23 23:23:29 | INFO | django.server | "GET /users/login/ HTTP/1.1" 200 1430
2025-04-23 23:23:36 | INFO | django.server | "POST /users/login/ HTTP/1.1" 302 0
2025-04-23 23:23:36 | INFO | django.server | "GET / HTTP/1.1" 200 2545
2025-04-23 23:23:37 | INFO | django.server | "GET /admin/ HTTP/1.1" 200 1129
2025-04-23 23:23:40 | INFO | django.server | "GET /admin/groups/ HTTP/1.1" 200 1384
2025-04-23 23:23:41 | INFO | django.server | "GET /admin/groups/create/ HTTP/1.1" 200 1296
2025-04-23 23:23:50 | INFO | django.server | "POST /admin/groups/create/ HTTP/1.1" 302 0
2025-04-23 23:23:50 | INFO | django.server | "GET /admin/groups/ HTTP/1.1" 200 1829
2025-04-23 23:23:52 | INFO | django.server | "GET /admin/groups/create/ HTTP/1.1" 200 1296
2025-04-23 23:23:57 | INFO | django.server | "POST /admin/groups/create/ HTTP/1.1" 302 0
2025-04-23 23:23:58 | INFO | django.server | "GET /admin/groups/ HTTP/1.1" 200 2284
2025-04-23 23:23:59 | INFO | django.server | "GET /admin/ HTTP/1.1" 200 1129
2025-04-23 23:24:01 | INFO | django.server | "GET /admin/users/ HTTP/1.1" 200 1842
2025-04-23 23:24:04 | INFO | django.server | "GET /admin/groups/ HTTP/1.1" 200 2284
2025-04-23 23:24:06 | INFO | django.server | "GET /admin/roles/ HTTP/1.1" 200 2709
2025-04-23 23:24:09 | INFO | django.server | "GET /users/logout/ HTTP/1.1" 302 0
2025-04-23 23:24:09 | INFO | django.server | "GET /users/login/ HTTP/1.1" 200 1430
2025-04-23 23:24:12 | INFO | django.server | "GET /users/register/ HTTP/1.1" 200 3406
2025-04-23 23:24:29 | INFO | django.server | "POST /users/register/ HTTP/1.1" 302 0
2025-04-23 23:24:29 | INFO | django.server | "GET / HTTP/1.1" 200 2620
2025-04-23 23:24:34 | INFO | django.server | "GET /users/logout/ HTTP/1.1" 302 0
